,На зерно та зелений корм - га
Одеська область,827957.23
м.Одеса,к
м.Балта,15899.12
м.Білгород-Дністровський,6046.73
м.Біляївка,2933.87
м.Ізмаїл,к
райони,
Ананьївський,22598.17
Арцизький,47539.87
Балтський,7488.43
Білгород-Дністровський,48609.2
Біляївський,25090.64
Березівський,36208.85
Болградський,39790.18
Великомихайлівський,42379.5
Іванівський,35693.09
Ізмаїльський,39169.18
Кілійський,19834.94
Кодимський,12720.82
Лиманський,56547.96
Подільський,19982.96
Окнянський,28357.75
Любашівський,20580.24
Миколаївський,16773.68
Овідіопольський,21584.4
Роздільнянський,36756.97
Ренійський,.55
Савранський,8426.09
Саратський,65448.89
Тарутинський,57929.93
Татарбунарський,31297.55
Захарівський,13285.09
Ширяївський,37478.73
