,Жива маса сільськогосподарських тварин
Одеська область,20258
м.Балта,к
м.Біляївка,к
райони,
Ананьївський,к
Арцизький,3950
Балтський,
Білгород-Дністровський,к
Біляївський,143
Березівський,552
Болградський,5956
Великомихайлівський,052
Іванівський,1812
Ізмаїльський,к
Кілійський,71
Кодимський,
Лиманський,к
Подільський,к
Окнянський,
Любашівський,к
Миколаївський,
Овідіопольський,к
Роздільнянський,к
Ренійський,
Савранський,
Саратський,758
Тарутинський,3917
Татарбунарський,к
Захарівський,к
Ширяївський,701
